run_id,seed,t,device_id,station,event,model_class,damage_state,battery_state,exceptions,extra_json
base_rep000,42,373.578339844644,0,S0,ARRIVAL_BIN,supported,normal,normal,[],{}
base_rep000,42,373.578339844644,0,Q0,Q_PUT,,,,[],{}
base_rep000,42,373.578339844644,1,S0,ARRIVAL_BIN,supported,normal,normal,[],{}
base_rep000,42,373.578339844644,0,Q0,Q_GET,,,,[],{}
base_rep000,42,373.578339844644,1,Q0,Q_PUT,,,,[],{}
base_rep000,42,373.578339844644,2,S0,ARRIVAL_BIN,supported,normal,normal,[],{}
base_rep000,42,373.578339844644,2,Q0,Q_PUT,,,,[],{}
base_rep000,42,373.578339844644,3,S0,ARRIVAL_BIN,supported,normal,normal,[],{}
base_rep000,42,373.578339844644,3,Q0,Q_PUT,,,,[],{}
base_rep000,42,373.578339844644,4,S0,ARRIVAL_BIN,supported,normal,normal,[],{}
base_rep000,42,373.578339844644,4,Q0,Q_PUT,,,,[],{}
base_rep000,42,373.578339844644,5,S0,ARRIVAL_BIN,supported,normal,normal,[],{}
base_rep000,42,373.578339844644,5,Q0,Q_PUT,,,,[],{}
base_rep000,42,373.578339844644,6,S0,ARRIVAL_BIN,supported,normal,normal,[],{}
base_rep000,42,373.578339844644,6,Q0,Q_PUT,,,,[],{}
base_rep000,42,373.578339844644,7,S0,ARRIVAL_BIN,supported,normal,normal,[],{}
base_rep000,42,373.578339844644,7,Q0,Q_PUT,,,,[],{}
base_rep000,42,373.578339844644,8,S0,ARRIVAL_BIN,supported,normal,normal,[],{}
base_rep000,42,373.578339844644,8,Q0,Q_PUT,,,,[],{}
base_rep000,42,373.578339844644,9,S0,ARRIVAL_BIN,supported,normal,normal,[],{}
base_rep000,42,373.578339844644,9,Q0,Q_PUT,,,,[],{}
base_rep000,42,373.578339844644,10,S0,ARRIVAL_BIN,supported,normal,normal,[],{}
base_rep000,42,373.578339844644,10,Q0,Q_PUT,,,,[],{}
base_rep000,42,373.578339844644,11,S0,ARRIVAL_BIN,supported,normal,normal,[],{}
base_rep000,42,373.578339844644,11,Q0,Q_PUT,,,,[],{}
base_rep000,42,373.578339844644,12,S0,ARRIVAL_BIN,supported,normal,normal,[],{}
base_rep000,42,373.578339844644,12,Q0,Q_PUT,,,,[],{}
base_rep000,42,373.578339844644,13,S0,ARRIVAL_BIN,supported,normal,normal,[],{}
base_rep000,42,373.578339844644,13,Q0,Q_PUT,,,,[],{}
base_rep000,42,373.578339844644,14,S0,ARRIVAL_BIN,supported,normal,normal,[],{}
base_rep000,42,373.578339844644,14,Q0,Q_PUT,,,,[],{}
base_rep000,42,373.578339844644,15,S0,ARRIVAL_BIN,supported,normal,normal,[],{}
base_rep000,42,373.578339844644,15,Q0,Q_PUT,,,,[],{}
base_rep000,42,373.578339844644,16,S0,ARRIVAL_BIN,supported,normal,normal,[],{}
base_rep000,42,373.578339844644,16,Q0,Q_PUT,,,,[],{}
base_rep000,42,373.578339844644,17,S0,ARRIVAL_BIN,supported,normal,normal,[],{}
base_rep000,42,373.578339844644,17,Q0,Q_PUT,,,,[],{}
base_rep000,42,373.578339844644,18,S0,ARRIVAL_BIN,supported,normal,normal,[],{}
base_rep000,42,373.578339844644,18,Q0,Q_PUT,,,,[],{}
base_rep000,42,373.578339844644,19,S0,ARRIVAL_BIN,supported,normal,normal,[],{}
base_rep000,42,373.578339844644,19,Q0,Q_PUT,,,,[],{}
base_rep000,42,373.578339844644,20,S0,ARRIVAL_BIN,supported,normal,normal,[],{}
base_rep000,42,373.578339844644,20,Q0,Q_PUT,,,,[],{}
base_rep000,42,373.578339844644,21,S0,ARRIVAL_BIN,supported,normal,normal,[],{}
base_rep000,42,373.578339844644,21,Q0,Q_PUT,,,,[],{}
base_rep000,42,384.2908848406212,0,S1,IDENTIFY_START,supported,normal,normal,[],{}
base_rep000,42,388.8948758252275,0,S1,IDENTIFY_END,supported,normal,normal,[],{}
base_rep000,42,388.8948758252275,0,Q1,Q_PUT,,,,[],{}
base_rep000,42,388.8948758252275,0,Q1,Q_GET,,,,[],{}
base_rep000,42,388.8948758252275,1,Q0,Q_GET,,,,[],{}
base_rep000,42,388.8948758252275,0,S2,M1_START,supported,normal,normal,[],{}
base_rep000,42,398.6212015544751,1,S1,IDENTIFY_START,supported,normal,normal,[],{}
base_rep000,42,403.65833532707046,1,S1,IDENTIFY_END,supported,normal,normal,[],{}
base_rep000,42,403.65833532707046,1,Q1,Q_PUT,,,,[],{}
base_rep000,42,403.65833532707046,2,Q0,Q_GET,,,,[],{}
base_rep000,42,409.6142070191701,2,S1,IDENTIFY_START,supported,normal,normal,[],{}
base_rep000,42,425.3182527817332,2,S1,IDENTIFY_END,supported,normal,normal,[],{}
base_rep000,42,425.3182527817332,2,Q1,Q_PUT,,,,[],{}
base_rep000,42,425.3182527817332,3,Q0,Q_GET,,,,[],{}
base_rep000,42,435.51814962921736,3,S1,IDENTIFY_START,supported,normal,normal,[],{}
base_rep000,42,443.67502411711064,3,S1,IDENTIFY_END,supported,normal,normal,[],{}
base_rep000,42,443.67502411711064,3,Q1,Q_PUT,,,,[],{}
base_rep000,42,443.67502411711064,4,Q0,Q_GET,,,,[],{}
base_rep000,42,445.0344353312483,0,S2,M1_END,supported,normal,normal,[],{}
base_rep000,42,445.0344353312483,0,Q2,Q_PUT,,,,[],{}
base_rep000,42,445.0344353312483,0,Q2,Q_GET,,,,[],{}
base_rep000,42,445.0344353312483,1,Q1,Q_GET,,,,[],{}
