run_id,seed,t,device_id,station,event,model_class,damage_state,battery_state,exceptions,extra_json
high_arrivals_rep001,43,159.59119755208235,0,S0,ARRIVAL_BIN,supported,normal,normal,[],{}
high_arrivals_rep001,43,159.59119755208235,0,Q0,Q_PUT,,,,[],{}
high_arrivals_rep001,43,159.59119755208235,1,S0,ARRIVAL_BIN,supported,normal,normal,[],{}
high_arrivals_rep001,43,159.59119755208235,0,Q0,Q_GET,,,,[],{}
high_arrivals_rep001,43,159.59119755208235,1,Q0,Q_PUT,,,,[],{}
high_arrivals_rep001,43,159.59119755208235,2,S0,ARRIVAL_BIN,supported,normal,normal,[],{}
high_arrivals_rep001,43,159.59119755208235,2,Q0,Q_PUT,,,,[],{}
high_arrivals_rep001,43,159.59119755208235,3,S0,ARRIVAL_BIN,supported,normal,normal,[],{}
high_arrivals_rep001,43,159.59119755208235,3,Q0,Q_PUT,,,,[],{}
high_arrivals_rep001,43,159.59119755208235,4,S0,ARRIVAL_BIN,supported,normal,normal,[],{}
high_arrivals_rep001,43,159.59119755208235,4,Q0,Q_PUT,,,,[],{}
high_arrivals_rep001,43,159.59119755208235,5,S0,ARRIVAL_BIN,supported,normal,normal,[],{}
high_arrivals_rep001,43,159.59119755208235,5,Q0,Q_PUT,,,,[],{}
high_arrivals_rep001,43,159.59119755208235,6,S0,ARRIVAL_BIN,supported,normal,normal,[],{}
high_arrivals_rep001,43,159.59119755208235,6,Q0,Q_PUT,,,,[],{}
high_arrivals_rep001,43,159.59119755208235,7,S0,ARRIVAL_BIN,supported,normal,normal,[],{}
high_arrivals_rep001,43,159.59119755208235,7,Q0,Q_PUT,,,,[],{}
high_arrivals_rep001,43,159.59119755208235,8,S0,ARRIVAL_BIN,supported,normal,normal,[],{}
high_arrivals_rep001,43,159.59119755208235,8,Q0,Q_PUT,,,,[],{}
high_arrivals_rep001,43,159.59119755208235,9,S0,ARRIVAL_BIN,supported,normal,normal,[],{}
high_arrivals_rep001,43,159.59119755208235,9,Q0,Q_PUT,,,,[],{}
high_arrivals_rep001,43,162.47502665778913,0,S1,IDENTIFY_START,supported,normal,normal,[],{}
high_arrivals_rep001,43,172.27502901034777,0,S1,IDENTIFY_END,supported,normal,normal,[],{}
high_arrivals_rep001,43,172.27502901034777,0,Q1,Q_PUT,,,,[],{}
high_arrivals_rep001,43,172.27502901034777,0,Q1,Q_GET,,,,[],{}
high_arrivals_rep001,43,172.27502901034777,1,Q0,Q_GET,,,,[],{}
high_arrivals_rep001,43,172.27502901034777,0,S2,M1_START,supported,normal,normal,[],{}
high_arrivals_rep001,43,177.49136843120812,1,S1,IDENTIFY_START,supported,normal,normal,[],{}
high_arrivals_rep001,43,185.40147319793581,1,S1,IDENTIFY_END,supported,normal,normal,[],{}
high_arrivals_rep001,43,185.40147319793581,1,Q1,Q_PUT,,,,[],{}
high_arrivals_rep001,43,185.40147319793581,2,Q0,Q_GET,,,,[],{}
high_arrivals_rep001,43,197.99126476270888,2,S1,IDENTIFY_START,supported,normal,normal,[],{}
high_arrivals_rep001,43,212.77199475955007,2,S1,IDENTIFY_END,supported,normal,normal,[],{}
high_arrivals_rep001,43,212.77199475955007,2,Q1,Q_PUT,,,,[],{}
high_arrivals_rep001,43,212.77199475955007,3,Q0,Q_GET,,,,[],{}
high_arrivals_rep001,43,218.0874430771705,3,S1,IDENTIFY_START,supported,normal,normal,[],{}
high_arrivals_rep001,43,226.01863588099366,3,S1,IDENTIFY_END,supported,normal,normal,[],{}
high_arrivals_rep001,43,226.01863588099366,3,S1,UNKNOWN_MODEL,unknown,normal,normal,[],{}
high_arrivals_rep001,43,226.01863588099366,4,Q0,Q_GET,,,,[],{}
high_arrivals_rep001,43,227.75840844473265,0,S2,M1_END,supported,normal,normal,[],{}
high_arrivals_rep001,43,227.75840844473265,0,Q2,Q_PUT,,,,[],{}
high_arrivals_rep001,43,227.75840844473265,0,Q2,Q_GET,,,,[],{}
high_arrivals_rep001,43,227.75840844473265,1,Q1,Q_GET,,,,[],{}
high_arrivals_rep001,43,227.75840844473265,0,S3,M2_START,supported,normal,normal,[],"{""cooling"": ""-80C""}"
high_arrivals_rep001,43,227.75840844473265,1,S2,M1_START,supported,normal,normal,[],{}
high_arrivals_rep001,43,231.540244129587,4,S1,IDENTIFY_START,supported,normal,normal,[],{}
high_arrivals_rep001,43,240.71676598199488,4,S1,IDENTIFY_END,supported,normal,normal,[],{}
high_arrivals_rep001,43,240.71676598199488,4,Q1,Q_PUT,,,,[],{}
high_arrivals_rep001,43,240.71676598199488,5,Q0,Q_GET,,,,[],{}
high_arrivals_rep001,43,253.04589878567128,5,S1,IDENTIFY_START,supported,normal,normal,[],{}
high_arrivals_rep001,43,262.9206775654198,5,S1,IDENTIFY_END,supported,normal,normal,[],{}
high_arrivals_rep001,43,262.9206775654198,5,Q1,Q_PUT,,,,[],{}
high_arrivals_rep001,43,262.9206775654198,6,Q0,Q_GET,,,,[],{}
high_arrivals_rep001,43,277.39591738746765,6,S1,IDENTIFY_START,supported,normal,normal,[],{}
high_arrivals_rep001,43,280.9551015044757,6,S1,IDENTIFY_END,supported,normal,normal,[],{}
high_arrivals_rep001,43,280.9551015044757,6,Q1,Q_PUT,,,,[],{}
high_arrivals_rep001,43,280.9551015044757,7,Q0,Q_GET,,,,[],{}
high_arrivals_rep001,43,289.89055843237435,1,S2,M1_END,supported,normal,normal,[],{}
