laptop_id,true_model_id,recognized,auto_success,new_model,new_model_registered,t_arrival,t_departure,cycle_time,state_history
0,0,True,True,False,False,0.00,193.32,193.32,S0_ARRIVAL[0.0-0.0] | S1_IMAGING_WAIT[0.0-0.0] | S1_IMAGING[0.0-8.0] | S2_RETRIEVAL_WAIT[8.0-8.0] | S2_RETRIEVAL[8.0-10.3] | S3_LOOKUP[10.3-12.3] | S4_AUTOMATION_WAIT[12.3-12.3] | S4_AUTOMATION[12.3-50.9] | S5_HANDOVER_WAIT[50.9-50.9] | S5_HANDOVER[50.9-188.3] | S8_LOGGING[188.3-193.3] | DEPARTED[193.3-193.3]
1,5,False,False,True,True,38.59,270.95,232.35,S0_ARRIVAL[38.6-38.6] | S1_IMAGING_WAIT[38.6-38.6] | S1_IMAGING[38.6-47.7] | S2_RETRIEVAL_WAIT[47.7-47.7] | S2_RETRIEVAL[47.7-49.4] | S6_MANUAL_NEW_WAIT[49.4-49.4] | S6_MANUAL_NEW[49.4-265.9] | S8_LOGGING[265.9-270.9] | DEPARTED[270.9-270.9]
2,0,True,True,False,False,104.36,289.46,185.10,S0_ARRIVAL[104.4-104.4] | S1_IMAGING_WAIT[104.4-104.4] | S1_IMAGING[104.4-111.8] | S2_RETRIEVAL_WAIT[111.8-111.8] | S2_RETRIEVAL[111.8-113.5] | S3_LOOKUP[113.5-115.5] | S4_AUTOMATION_WAIT[115.5-115.5] | S4_AUTOMATION[115.5-149.8] | S5_HANDOVER_WAIT[149.8-188.3] | S5_HANDOVER[188.3-284.5] | S8_LOGGING[284.5-289.5] | DEPARTED[289.5-289.5]
3,0,True,False,False,False,211.14,559.85,348.72,S0_ARRIVAL[211.1-211.1] | S1_IMAGING_WAIT[211.1-211.1] | S1_IMAGING[211.1-223.1] | S2_RETRIEVAL_WAIT[223.1-223.1] | S2_RETRIEVAL[223.1-224.0] | S3_LOOKUP[224.0-226.0] | S4_AUTOMATION_WAIT[226.0-226.0] | S4_AUTOMATION[226.0-258.1] | S7_MANUAL_FALLBACK_WAIT[258.1-265.9] | S7_MANUAL_FALLBACK[265.9-554.9] | S8_LOGGING[554.9-559.9] | DEPARTED[559.9-559.9]
4,2,True,True,False,False,222.82,375.73,152.91,S0_ARRIVAL[222.8-222.8] | S1_IMAGING_WAIT[222.8-223.1] | S1_IMAGING[223.1-233.4] | S2_RETRIEVAL_WAIT[233.4-233.4] | S2_RETRIEVAL[233.4-234.8] | S3_LOOKUP[234.8-236.8] | S4_AUTOMATION_WAIT[236.8-258.1] | S4_AUTOMATION[258.1-291.1] | S5_HANDOVER_WAIT[291.1-291.1] | S5_HANDOVER[291.1-370.7] | S8_LOGGING[370.7-375.7] | DEPARTED[375.7-375.7]
5,6,False,False,True,True,379.82,693.90,314.08,S0_ARRIVAL[379.8-379.8] | S1_IMAGING_WAIT[379.8-379.8] | S1_IMAGING[379.8-388.8] | S2_RETRIEVAL_WAIT[388.8-388.8] | S2_RETRIEVAL[388.8-390.5] | S6_MANUAL_NEW_WAIT[390.5-390.5] | S6_MANUAL_NEW[390.5-688.9] | S8_LOGGING[688.9-693.9] | DEPARTED[693.9-693.9]
6,0,True,True,False,False,420.81,696.36,275.54,S0_ARRIVAL[420.8-420.8] | S1_IMAGING_WAIT[420.8-420.8] | S1_IMAGING[420.8-428.7] | S2_RETRIEVAL_WAIT[428.7-428.7] | S2_RETRIEVAL[428.7-430.6] | S3_LOOKUP[430.6-432.6] | S4_AUTOMATION_WAIT[432.6-432.6] | S4_AUTOMATION[432.6-466.1] | S5_HANDOVER_WAIT[466.1-554.9] | S5_HANDOVER[554.9-691.4] | S8_LOGGING[691.4-696.4] | DEPARTED[696.4-696.4]
7,7,False,False,True,True,476.29,977.02,500.73,S0_ARRIVAL[476.3-476.3] | S1_IMAGING_WAIT[476.3-476.3] | S1_IMAGING[476.3-484.9] | S2_RETRIEVAL_WAIT[484.9-484.9] | S2_RETRIEVAL[484.9-486.8] | S6_MANUAL_NEW_WAIT[486.8-688.9] | S6_MANUAL_NEW[688.9-972.0] | S8_LOGGING[972.0-977.0] | DEPARTED[977.0-977.0]
8,2,True,True,False,False,633.02,871.07,238.04,S0_ARRIVAL[633.0-633.0] | S1_IMAGING_WAIT[633.0-633.0] | S1_IMAGING[633.0-640.7] | S2_RETRIEVAL_WAIT[640.7-640.7] | S2_RETRIEVAL[640.7-642.1] | S3_LOOKUP[642.1-644.1] | S4_AUTOMATION_WAIT[644.1-644.1] | S4_AUTOMATION[644.1-673.0] | S5_HANDOVER_WAIT[673.0-691.4] | S5_HANDOVER[691.4-866.1] | S8_LOGGING[866.1-871.1] | DEPARTED[871.1-871.1]
9,0,True,True,False,False,855.09,1026.66,171.57,S0_ARRIVAL[855.1-855.1] | S1_IMAGING_WAIT[855.1-855.1] | S1_IMAGING[855.1-859.5] | S2_RETRIEVAL_WAIT[859.5-859.5] | S2_RETRIEVAL[859.5-861.6] | S3_LOOKUP[861.6-863.6] | S4_AUTOMATION_WAIT[863.6-863.6] | S4_AUTOMATION[863.6-891.8] | S5_HANDOVER_WAIT[891.8-891.8] | S5_HANDOVER[891.8-1021.7] | S8_LOGGING[1021.7-1026.7] | DEPARTED[1026.7-1026.7]
